drh_id,int_id,name,poll_type,year_from,year_to,region,lat,lon
RW50cnk6ODg3,887,Postsocialist Mongolian Shamanism,religious_group,1990,2020,Contemporay Mongolia,46.8625,103.8467
RW50cnk6NzQ5,749,Korean shamanism,religious_group,1800,2020,South Korea,36.6384,127.6961
RW50cnk6Mjc1NA==,2754,Transcultural Shamanism,religious_group,1,2026,?,,
RW50cnk6MjQ5,249,Tyva Republic (Animism-Totemism-Shamanism),religious_group,1990,2013,Tyva Republic,51.7272,94.4134
RW50cnk6MTI3NQ==,1275,Central Andes Formative Period Religion,religious_group,-1800,0,Central Andes,-13.5,-72.0
RW50cnk6MTAxNA==,1014,Philosophy and Ritual Practice of Witchcraft as Female-Centric Religion,religious_group,1960,2021,Managing,,
RW50cnk6OTgz,983,Tibetan and Himalayan Mundane and Landscape Cults,religious_group,600,2020,Tibet and the Himalayas,29.65,91.17
RW50cnk6ODAw,800,Micronesia,religious_group,-1700,1945,Pacific Ocean,0.0,-160.0
RW50cnk6NjQ3,647,Havasupai,religious_group,1893,1921,"Havasupai Reservation, 1918",36.2,-112.5
RW50cnk6MTQwOQ==,1409,Formative Olmec,religious_group,-1500,-400,"Gulf Coast of Mexico, Southeast Mexico",19.0,-96.0
RW50cnk6Njc1,675,Chukchee,religious_group,1885,1910,"Reindeer division of the Chukchee, Northeastern Russia",67.0,175.0
RW50cnk6Mjc4MQ==,2781,Chamanisme transculturel,religious_group,1979,2026,"New France, Atlantic and St. Lawrence Region",46.5,-72.0
RW50cnk6OTIx,921,Bhils,religious_group,1700,2020,Western India,9.9659,76.2928
RW50cnk6MjQ5Ng==,2496,Vietnamese popular religion,religious_group,0,2025,Vietnam,15.9267,107.9651
RW50cnk6MTE4MA==,1180,Batak Traditional Religions,religious_group,1600,2020,North Sumatra,3.0,98.0
RW50cnk6Mjc0OA==,2748,Mescalero Apache,religious_group,1200,2026,Historic Mescalero Apache Territory,33.0,-105.5
RW50cnk6MTExMA==,1110,Twana,religious_group,1845,1875,Twana (Southern Coast Salish) Territory ca. 1860,47.5,-123.0
RW50cnk6ODcw,870,Postsocialist Mongolian Buddhism,religious_group,1990,2020,Mongolia,46.825,103.85
RW50cnk6MTE5Nw==,1197,Atheism in the Soviet Union,religious_group,1917,1991,The Russian Empire (2),55.75,37.62
RW50cnk6OTYw,960,Bön (Bon),religious_group,1000,2020,Tibet and the Himalayas,29.65,91.17
RW50cnk6MTIyMA==,1220,The Cult of Chinggis Khan (a.k.a. Genghis Khan) in Mongolia,religious_group,1227,2023,Mongolian-speaking region (East and North),47.0,103.0
RW50cnk6MjA1MQ==,2051,Tibeto-Vietnamese Đạo Mẫu,religious_group,2022,2024,"Phú Hòa Đông, Củ Chi, Hồ Chí Minh City",10.85,106.48
RW50cnk6OTQz,943,Moravian Missionaries in Nunatsiavut,religious_group,1752,2020,Nunatsiavut and Labrador,56.0,-63.0
RW50cnk6MTA0Nw==,1047,Pantheism/Animism,religious_group,-30000,2021,Prehistoric Europe and Southwest Asia,45.0,30.0
RW50cnk6MTM2Mw==,1363,Moche,religious_group,200,900,North Coast of Peru,-8.0,-79.0
RW50cnk6MjI3Ng==,2276,Western Zhou (1045 BCE - 771 BCE),religious_group,-1045,-771,Western Zhou (based on Li Feng),34.0,108.0
RW50cnk6Njk0,694,Eyak,religious_group,1880,1910,Copper River Delta,60.3,-144.8
RW50cnk6MjU1Mw==,2553,"Costumbrismo [Chiapas], Folk Catholicism [Chiapas], Folk Mayan Catholicism [Chiapas]",religious_group,1950,2020,Chiapas,16.75,-93.1
RW50cnk6ODcx,871,Spiritualism,religious_group,1848,2020,North Atlantic Spiritualism,50.0,-30.0
RW50cnk6OTE0,914,Tariqa Shadhiliyya,religious_group,1258,2020,MENA + Andalusia,27.0,30.0
RW50cnk6ODg0,884,Sub Saharan Africa Pentecostalism,religious_group,1907,2022,Sub Saharan Africa,0.0,20.0
RW50cnk6ODg1,885,Contemporary West African Vodun,religious_group,1960,2022,Coastal West Africa,5.0,0.0
RW50cnk6MjQ1MQ==,2451,Ethiopian Orthodox Tewahedo Church,religious_group,328,2024,Ethiopia,9.0,40.0
RW50cnk6NjIx,621,Haitians,religious_group,1910,1935,"Mirebalais, Haiti",18.83,-72.0
RW50cnk6OTQ5,949,The Church of All Worlds,religious_group,1963,2020,The United States (primarily the west coast and the midwest) as well as Australia,37.09,-95.71
RW50cnk6MjgwOQ==,2809,Manjuzu- Mermaid spirits,religious_group,2020,2026,Zimbabwe,-20.0,30.0
RW50cnk6OTM1,935,Nigerian Pentecostalism,religious_group,1910,2020,Nigeria,9.6,8.0
RW50cnk6Nzcx,771,Muscular Christianity,religious_group,1762,2020,Countries with significant Muscular Christian presence.,,
RW50cnk6MTI3OQ==,1279,Mandarese Muslims,religious_group,1593,2004,Mandar River Valley & Polewali,-3.35,119.2
RW50cnk6NzIx,721,Semang,religious_group,1910,1940,"Jahai subtribe of northeastern Perak and northwestern Kelantan, Malaysia",5.5,101.5
RW50cnk6MTM0MA==,1340,International Sivananda Yoga Vedanta Centers,religious_group,1957,2023,"Americas, Europe, Asia",,
RW50cnk6ODk0,894,Universal Fellowship of Metropolitan Community Churches,religious_group,1968,2020,U.S. and Canada,54.0,-100.0
RW50cnk6OTE1,915,Protestantism welcoming People with Disabilities,religious_group,2000,2020,"New Jersey, New York, Pennsylvania",41.0,-75.0
RW50cnk6NzY4,768,Mundurucu,religious_group,1850,1900,Mundurucu Territory ca. 1850,-7.0,-56.5
RW50cnk6NzEx,711,Kwoma,religious_group,1912,1937,"Ambunti Sub-Province, Sepik River region, Papua New Guinea",-4.2,142.8
RW50cnk6MTQxNQ==,1415,Anomeans,religious_group,350,398,Anatolia,39.0,32.0
RW50cnk6ODky,892,Charismatic Renewal Movement in Christianity - Second Wave Pentecostalism,religious_group,1960,2020,USA,39.7837,-100.4459
RW50cnk6OTY3,967,Unitarian Universalism,religious_group,1825,2020,Unitarian Univeralist Organizations,42.0,-71.0
RW50cnk6MTU4Ng==,1586,Christ Apostolic Church,religious_group,1941,2022,Nigeria,9.6,8.0
RW50cnk6NzQ4,748,Lamet,religious_group,1915,1945,Northwestern Laos,20.5,102.0
RW50cnk6OTMy,932,Congregation of Jesus,religious_group,1609,2020,Britain,54.3152,-1.9182
RW50cnk6NzU5,759,Comanche,religious_group,1855,1880,Comanche-occupied southern Great Plains ca. 1870,34.5,-101.0
RW50cnk6MTEwMQ==,1101,Natchez,religious_group,1710,1730,Natchez Territory ca. 1718,31.56,-91.4
RW50cnk6NzM5,739,Lakalai,religious_group,1885,1910,"Hoskins Peninsula, New Britain.",-5.5,150.3
RW50cnk6MTIyOQ==,1229,Three Self Patriotic Movement (TSPM),religious_group,1950,2021,People's Republic of China,35.0001,104.9999
RW50cnk6Mjc4Mg==,2782,Asatru Folk Assembly,religious_group,1994,2026,USA,39.7837,-100.4459
RW50cnk6MjYwNQ==,2605,De Jiao,religious_group,1951,2010,Mainland Southeast Asia and China,20.0,103.0
RW50cnk6Mjc3Nw==,2777,Redeemed Christian Church of God,religious_group,2020,2021,Southeastern Nigeria,5.5,7.5
RW50cnk6NzMy,732,Marquesans,religious_group,1800,1875,"Nuku Hiva Island, French Polynesia",-8.92,-140.1
RW50cnk6NzM2,736,Jivaro,religious_group,1895,1929,Jivaro of Ecuador and Peru,-3.0,-77.0
RW50cnk6NjM3,637,Yahgan,religious_group,1900,1924,"Tierra del Fuego, Chile",-54.0,-69.0
RW50cnk6MjA2MQ==,2061,OYA RELIGIOUS GROUP IN OYO,religious_group,1800,1900,Oyo,7.85,3.93
RW50cnk6MTM1Nw==,1357,Encratites,religious_group,100,400,AncientMediterranean,35.0,18.0
RW50cnk6ODQ5,849,"""Gaiwiio Religion,"" ""Longhouse Religion,"" or ""The Way of Handsome Lake"" of the Seneca Tribe",religious_group,1750,1850,Seneca Reservations (1797),42.8,-78.7
RW50cnk6MTAzMQ==,1031,Eastern Roman Manichaeism,religious_group,300,600,Eastern Roman Empire (300-600),41.0082,28.9784
RW50cnk6MjE3OA==,2178,Aladura Christianity in Nigeria,religious_group,1918,2023,Nigeria,9.6,8.0
RW50cnk6MTMyMw==,1323,Luguru,religious_group,1910,1935,Uluguru Mountains ca. 1925,-7.0,37.7
RW50cnk6MjcxOA==,2718,"Living Faith International Church, a.k.a Winners Chapel",religious_group,1981,2026,Southeast Nigeria,5.5,7.5
RW50cnk6MTI0Ng==,1246,Shilluk,religious_group,1895,1925,"Shilluk lands, ca. 1910",10.0,32.0
RW50cnk6MjgyNg==,2826,Rufaqa’ Corporation,religious_group,1997,2008,Malaysia,4.5694,102.2657
RW50cnk6MTE1NA==,1154,The Cult of the Fox,religious_group,1500,1950,North China,39.656,-84.1566
RW50cnk6NzIy,722,Gros Ventre,religious_group,1835,1885,Fort Belknap Reservation and Gros Ventre lands,48.3,-108.6
RW50cnk6NzI4,728,Pentecost,religious_group,1928,1959,"Southern Pentecost Island, Vanuatu",-15.7,168.2
RW50cnk6MTI0MQ==,1241,Taiping 太平 Movement,religious_group,1837,1866,Territory of the Taiping Movement,23.0,113.0
RW50cnk6MjcwOA==,2708,Mountain of Fire and Miracles Ministries,religious_group,1989,2025,Nigeria,9.6,8.0
RW50cnk6OTcz,973,The Sarna religion of the Oraons of Jharkhand,religious_group,1845,2019,"Ranchi, Jharkhand",23.34,85.31
RW50cnk6ODI2,826,"The Church of Christ, Scientist",religious_group,1866,2020,Origins of Christian Science,42.35,-71.06
RW50cnk6ODUx,851,Sikhism in the United States,religious_group,1899,2020,USA,39.7837,-100.4459
RW50cnk6MjgxMA==,2810,Royalhouse Chapel International in the UK,religious_group,1999,2026,Great Britain_Political Territory_DRH,54.0,-2.0
RW50cnk6ODU4,858,"The New Prophecy or ""Montanism""",religious_group,165,550,Locations of the New Prophecy,38.7,29.5
RW50cnk6MjcwMw==,2703,Christ Embassy,religious_group,1996,2026,Great Britain_Political Territory_DRH,54.0,-2.0
RW50cnk6ODkz,893,Sethian Gnostic,religious_group,100,400,"Alexandria and the Nile, Rome, Antioch and environs, etc.",30.0,31.0
RW50cnk6MTgwNg==,1806,Sango Religious group in Oyo,religious_group,1800,1900,Oyo,7.85,3.93
RW50cnk6OTc1,975,Neo-Charismatic Movement - Third Wave Charismatic Movement,religious_group,1980,2020,USA,39.7837,-100.4459
RW50cnk6MjMxMg==,2312,The philosophical system of 'Ubuntu' in Southern Africa,religious_group,-1800,2024,Southern Africa,-30.0,26.0
RW50cnk6MTM0OQ==,1349,The Dingxiang Wang Cult,religious_group,1124,1991,The extent of Dingxiang Wang temples at the end of the Qing,35.0,105.0
RW50cnk6MjY2NA==,2664,The Redeemed Christian Church of God UK,religious_group,1988,2026,Great Britain_Political Territory_DRH,54.0,-2.0
RW50cnk6ODU3,857,Wesleyanism,religious_group,1738,2020,Worldwide Wesleyan/Methodist Populations,,
RW50cnk6MTA3MQ==,1071,Digital Shinto Communities,religious_group,2001,2021,Global Digital Shinto Communities Network,,
RW50cnk6MjY5MA==,2690,Winners Chapel International,religious_group,2002,2026,Great Britain_Political Territory_DRH,54.0,-2.0
RW50cnk6OTg5,989,Opus Dei,religious_group,1928,2020,Opus Dei (66 Countries),40.4168,-3.7038
RW50cnk6MjYyMQ==,2621,The Jesus Fellowship Church,religious_group,2007,2019,Great Britain_Political Territory_DRH,54.0,-2.0
RW50cnk6OTU4,958,Society of Jesus,religious_group,1540,1773,Italy,42.6384,12.6743
RW50cnk6MTQwNw==,1407,Classical Chan Buddhism,religious_group,750,950,Tang China,34.0,108.0
RW50cnk6NjMx,631,Cayapa,religious_group,1879,1909,Rio Cayapas drainage,1.0,-78.8
RW50cnk6NzIz,723,Trumai,religious_group,1910,1940,"Trumai village of Vanivani, central Mato Grosso State, Brazil",-12.0,-54.0
RW50cnk6NjEx,611,Javanese,religious_group,1930,1960,Town and environs of Pare,-4.0,37.8
RW50cnk6NjUy,652,Tiwi,religious_group,1904,1930,Melville Island,-11.6,131.0
RW50cnk6NjYw,660,Iban,religious_group,1941,1966,"Sarawak, Borneo Island",1.55,110.36
RW50cnk6NzMz,733,Kaska,religious_group,1870,1915,Upper Liard River,60.0,-129.0
RW50cnk6Njg0,684,Huron,religious_group,1615,1640,Huronia,44.8,-79.5
RW50cnk6ODUw,850,Pre-Christian Religion / Paganism in Gaul,religious_group,-600,-51,Gaul,46.6034,1.8883
RW50cnk6ODUy,852,Pre-Christian Religion / Paganism in Ireland,religious_group,-500,900,Iron Age Ireland,53.0,-8.0
RW50cnk6ODUz,853,Pre-Christian Religion / Paganism in Northern Britain (Pictland / Scotland),religious_group,-500,900,Northern Britain / Scotland,57.0,-4.0
RW50cnk6MTYyNA==,1624,Neo-Assyrian Healers (āšipu/mašmaššu-exorcists),religious_group,-900,-612,Cities integrated in the Assyrian empire,36.36,43.16
RW50cnk6MTE4Mw==,1183,Religion at Nippur in the Ur III period,religious_group,-2100,-2000,Ur III core region,30.96,46.1
RW50cnk6MTA0OQ==,1049,Chalcolithic Southern Levant,religious_group,-4500,-3600,Levant,33.0,36.0
RW50cnk6MjY3Mw==,2673,Gardnerian Wicca,religious_group,1939,2025,"Europe, the Americas, Australasia",,
RW50cnk6MTk2Ng==,1966,Cherubim & Seraphim Movement Church (Worldwide) Ayo Ni O,religious_group,1972,2023,"Ibadan, Oyo State, Nigeria",7.38,3.9
RW50cnk6Nzk3,797,Native-Roman Auxiliary Cavalry Depositional Ritual Participants,religious_group,-100,500,British Isles and NW Europe,52.0,0.0
RW50cnk6MTAyNA==,1024,Universal Salvation Ritual,religious_group,1200,1920,Zhejiang; Shanxi,29.5,120.0
RW50cnk6MTMxOQ==,1319,Reginistas,religious_group,1968,2022,"Mexico City, and Aldea de los Reyes in Amecameca (State of Mexico)",19.2,-98.8
RW50cnk6MjY3MQ==,2671,Gardnerian Wicca,religious_group,1939,2025,"Europe, the Americas, and Australia and New Zealand",,
RW50cnk6Mjc1OQ==,2759,Lạc Healing,religious_group,2022,2026,Vietnam5,14.0583,108.2772
RW50cnk6ODYz,863,Orphism,religious_group,-550,450,Roman Empire (Greatest Extent),41.9028,12.4964
RW50cnk6NzUy,752,Haroi,religious_group,1470,2019,Cham H'roi,13.5,108.5
RW50cnk6MTM5Nw==,1397,The Classic Period Peripheral Coastal Lowlands Ritual Ballgame Cult,religious_group,400,1000,Peripheral Coastal Lowlands,10.0,107.0
RW50cnk6MTM3Ng==,1376,African Initiated Churches,religious_group,1900,2022,"Moria, Limpopo, South Africa",-23.9,29.8
RW50cnk6Mjc2OA==,2768,Alexandrian Wicca,religious_group,1961,2026,Great Britain_Political Territory,54.0,-2.0
RW50cnk6MjcwOQ==,2709,Yoruba Indigenous religion,religious_group,20,21,Osun,7.76,4.56
RW50cnk6MTk0MA==,1940,"The Holy Apostles Community, Ori-Oke Iwamimo",religious_group,1950,2023,"Ori-Oke Iwamimo, Ilaje local government area of Ondo State, Nigeria",6.55,5.0
