drh_id,int_id,name,poll_type,year_from,year_to,region,lat,lon
RW50cnk6NjQ1,645,"Meo Muslim, Mev, Mewati Muslim",religious_group,1100,2020,"Haryana, Rajasthan, and Eastern Uttar Pradesh, North India",27.0,76.0
RW50cnk6MjY1Nw==,2657,Energy Healing Groups in Brittany,religious_group,2014,2026,Brittany,48.0,-3.0
RW50cnk6OTUz,953,Sachchai,religious_group,1975,2020,Nepal and parts of North India,28.0,83.0
RW50cnk6Mjc1Ng==,2756,Barbara Brennan School of Healing,religious_group,1982,2026,Montreal1,45.5,-73.57
RW50cnk6Mjc0NA==,2744,Dunamis International Gospel Center,religious_group,2020,2026,"Umuahia, Abia State, Southeastern Nigeria",5.53,7.49
RW50cnk6MTA2OQ==,1069,Religion at Deir el-Medina,religious_group,-1504,-1069,Deir el-Medina,25.73,32.6
RW50cnk6MTE0MA==,1140,Early Medieval Confucianism,religious_group,220,589,Northern Wei and the Liu-Song,40.0,113.0
RW50cnk6MjY1OQ==,2659,Salamullah,religious_group,1996,2025,"Jakarta, Banten, and Bogor",-6.21,106.85
RW50cnk6MTI1OA==,1258,Religion in Judah,religious_group,-1000,-586,Ancient Judah,31.5,35.0
RW50cnk6MTE3OA==,1178,Modern Mystery School (MMS),religious_group,1997,2021,Primarily North America and Japan,,
RW50cnk6MjQ4NA==,2484,Simon Kimbangu,religious_group,1921,1951,Peregrine_Tshitolian,-4.0,23.0
RW50cnk6MTg2OQ==,1869,IFA RELIGIOUS GROUP IN ILE- IFE,religious_group,1930,2015,Ile-Ife,7.47,4.56
RW50cnk6MjczNw==,2737,The Lighthouse Chapel International,religious_group,1993,2026,Great Britain_Political Territory_DRH,54.0,-2.0
RW50cnk6MjczMQ==,2731,Maruyamakyō,religious_group,1910,1945,Japanese Empire and Occupied Areas,36.2,138.0
RW50cnk6OTkz,993,Pontifex Maximus and Pontifices (Pontifical College),religious_group,-712,380,Rome,41.9028,12.4964
RW50cnk6MjM0Ng==,2346,Igbo Traditional Religion,religious_group,1800,2024,"Igboland, South East, Nigeria",6.0,7.5
RW50cnk6Njcz,673,Pawnee,religious_group,1842,1870,Skidi Band Territory,42.0,-99.5
RW50cnk6MTEzNg==,1136,The Fellowship of Goodness 同善社 (Tongshanshe),religious_group,1910,1951,Poyang Lake Area,28.8,116.3
RW50cnk6MjA3MA==,2070,Overcomers Evangelical Mission International (Ori-Oke Asegun),religious_group,2003,2018,Ile-Ife,7.47,4.56
RW50cnk6MzQ4,348,Yanshi Shangcheng,religious_group,-1600,-1365,"Luo River, Yellow River Valley, Henan Province",34.8,113.6
RW50cnk6ODgw,880,Egyptian Salafism (inluding North Africa and West Asia),religious_group,1870,2015,North Africa,27.0,17.0
RW50cnk6MjY4Ng==,2686,"R. Shimon Bar Yochai's Tomb, Meron Israel",religious_group,2023,2026,Phoenicia,33.8547,35.8623
RW50cnk6MTQzNg==,1436,The Monastic School of Gaza,religious_group,320,536,Gaza.,31.5,34.47
RW50cnk6NzEy,712,Huichol,religious_group,1880,1934,"Huichol Territory, Nayarit and Jalisco, Mexico",22.0,-104.0
RW50cnk6MTQyMA==,1420,Creek,religious_group,1785,1810,Upper division of Alabama,33.5,-86.8
RW50cnk6NjA5,609,Tallensi,religious_group,1915,1940,Volta River basin of Northern Ghana,10.0,-1.0
RW50cnk6OTg2,986,Theurgy,religious_group,150,529,Known Theurgic Neoplatonic Schools,36.5,30.0
RW50cnk6MTQyNQ==,1425,Religion at Erlitou,religious_group,-1800,-1500,"Erlitou Yanshi,Henan",34.67,112.95
RW50cnk6MjcwMg==,2702,The Life Oasis International Church,religious_group,1988,2026,"Nigeria, West Africa",9.0,8.0
RW50cnk6NjI5,629,Newar Buddhists,religious_group,1200,2018,Greater Kathmandu Valley,27.72,85.32
RW50cnk6NDg1,485,Sámi pre-Christian religion,religious_group,500,1500,Sápmi (The Sámi Land),68.0,25.0
RW50cnk6MTE2Mg==,1162,Lingbao dafa,religious_group,400,1400,Jiangnan Area,31.0,120.0
RW50cnk6MTMwMQ==,1301,Moche (Mochica),religious_group,-200,1000,North Coast of Peru,-8.0,-79.0
RW50cnk6Mjc1MA==,2750,Caddo,religious_group,800,2026,Ancestral Caddo Territory,32.0,-94.5
RW50cnk6MTM2NA==,1364,Chavin,religious_group,-900,-200,South-Central Andes,-20.0,-67.0
RW50cnk6MTI4NA==,1284,Religion of Phoenicia,religious_group,-1200,-330,Phoenicia,33.8547,35.8623
RW50cnk6MTM4Ng==,1386,Liumen (Liu School),religious_group,1807,1950,Sichuan and surrounding areas,30.5,103.5
RW50cnk6ODIx,821,"West Bengal, India",religious_group,1200,1800,West Bengal,22.9965,87.6856
RW50cnk6MTI4OA==,1288,Bailadeiras of Goa,religious_group,1510,1650,Goa,15.3005,74.0855
RW50cnk6MTIzMQ==,1231,"Shenxiao 神霄 (""Divine Empyrean"") Daoism",religious_group,1100,2021,Northern Song Dynasty,34.8,113.6
RW50cnk6NjI3,627,Tikopia,religious_group,1905,1935,Island of Tikopia,-12.3,168.83
RW50cnk6MTMwMw==,1303,Emar: A Hittite Vassal in Late Bronze Age Syria,religious_group,-1400,-1200,Emar,36.26,38.07
RW50cnk6NjYy,662,Goajiro,religious_group,1922,1947,Guajira Peninsula,11.7,-72.5
RW50cnk6MTQ0MQ==,1441,Mexica (Aztec) Religion,religious_group,1325,1521,Aztec Imperial Core,19.4,-99.1
RW50cnk6NTg4,588,Nyakyusa,religious_group,1905,1940,Northern Coastal Plain of Lake Malawi,-10.5,34.3
RW50cnk6MTIzNA==,1234,Ashanti,religious_group,1880,1910,"Kumasi, Ashanti Region, Ghana, ca. 1895",6.69,-1.62
RW50cnk6OTUy,952,Ethiopian Jews,religious_group,1980,2020,israel,31.5,34.75
RW50cnk6MTIyMw==,1223,Toda,religious_group,1885,1910,"Nilgiri Hills, western Tamil Nadu state, India",11.4,76.7
RW50cnk6NjQ5,649,"Worshippers at the Chidambaram Nataraja Temple, Modern Period",religious_group,700,2019,Tamil Nadu,11.3324,78.6099
RW50cnk6MjY0,264,Alumbrados,religious_group,1492,1550,Europe,51.0,10.0
RW50cnk6MTMyOQ==,1329,Pre-Pottery Neolithic in the Near East,religious_group,-9700,-6600,South-west Asia,32.0,44.0
RW50cnk6MTI1OQ==,1259,"The LuWang School, the School of Lu Xiangshan and Wang Yangming",religious_group,1200,1900,Ming and Qing China (combined area),35.0,105.0
RW50cnk6ODIy,822,"West Bengal, India",religious_group,1800,1950,West Bengal,22.9965,87.6856
RW50cnk6ODIw,820,"West Bengal, India",religious_group,-1200,-300,West Bengal,22.9965,87.6856
RW50cnk6ODIz,823,"West Bengal, India",religious_group,1950,2020,West Bengal,22.9965,87.6856
RW50cnk6NjY3,667,Ainu,religious_group,1855,1880,"Saru Basin, Hokkaido, Japan",42.5,142.3
RW50cnk6NTYz,563,"Gaddi, a Hindu community of the Western Himalayas",religious_group,1845,2018,Gaddis of the Western Himalayas -- Modern Period,32.0,76.5
RW50cnk6ODE5,819,"West Bengal, India",religious_group,600,1200,West Bengal,22.9965,87.6856
RW50cnk6Njgw,680,Gujarati Mata Worshipers,religious_group,1850,2019,Gujarat,22.385,71.7453
RW50cnk6ODE4,818,"West Bengal, India",religious_group,-300,600,West Bengal,22.9965,87.6856
RW50cnk6OTI4,928,The Ghost Dance Movement and the Lakota Sioux,religious_group,1860,1910,Lakota Sioux Reservations as of 1890,43.5,-101.0
RW50cnk6MjczNQ==,2735,Sathya Sai Baba Movement,religious_group,1967,2013,Singapore,1.3571,103.8195
RW50cnk6NjE0,614,!Kung,religious_group,1925,1960,"Nyae Nyae region, Namibia",-19.7,20.5
RW50cnk6ODg4,888,Céli Dé monks,religious_group,780,900,Leinster and East Munster,52.5,-7.0
RW50cnk6MTIxMA==,1210,Mende,religious_group,1920,1950,"Vicinity of the town of Bo, Sierra Leone",7.96,-11.74
RW50cnk6NjY2,666,Siuai,religious_group,1914,1939,Bougainville Island,-6.2,155.3
RW50cnk6ODM2,836,British Isles: Romano-British,religious_group,43,500,British Isles: England,52.5,-1.5
RW50cnk6MTAzOQ==,1039,(Archaeology of) Religion in New Kingdom Nubia,religious_group,-1550,-1070,Nubia,20.0,30.5
RW50cnk6OTcx,971,Gāṇapatya,religious_group,500,2020,Important centers of Ganapatya worship,18.5,74.0
RW50cnk6ODYw,860,Kimpa Vita,religious_group,1704,2020,Kingdom of Kongo map,-5.0,15.0
RW50cnk6MTE5OQ==,1199,Tiv,religious_group,1905,1934,Tiv settlements of Benue province,7.5,9.0
RW50cnk6MTM0MQ==,1341,Muslim Students Association of the United States and Canada,religious_group,1960,2022,United States and Canada,38.944,-77.3305
RW50cnk6MTAxMQ==,1011,Kingdom of Edom,religious_group,-800,-550,Edom,30.5,35.5
RW50cnk6Njg1,685,Badjau,religious_group,1940,1966,Tawi-Tawi and adjacent islands,5.2,120.0
RW50cnk6OTM3,937,Vestal Virgins,religious_group,-800,394,Rome,41.9028,12.4964
RW50cnk6Mjk0,294,Xuanxue 玄學,religious_group,200,600,Southern and Northern Dynasties 440 CE,32.0,118.0
RW50cnk6MjY0NQ==,2645,Alevism,religious_group,2013,2026,Great Britain_Political Territory_DRH,54.0,-2.0
RW50cnk6MjcxNA==,2714,Tenrikyo in France,religious_group,2013,2020,France,46.6034,1.8883
RW50cnk6MjcxOQ==,2719,Piaganism,religious_group,2012,2026,Piauí,-7.7,-43.0
RW50cnk6OTgx,981,Nation of Islam,religious_group,1930,2020,Nation of Islam in American Cities,41.85,-87.65
RW50cnk6MTIxOA==,1218,Yiguan Dao/I-Kuan Tao 一貫道,religious_group,1870,2021,Yiguan Dao in Taiwan,23.7,121.0
RW50cnk6ODY3,867,Nyingma Treasure,religious_group,1200,1500,Tibet (Tufan) - 669 CE,29.65,91.17
RW50cnk6NzEw,710,Hidatsa,religious_group,1816,1840,Hidatsa territory,47.5,-101.5
RW50cnk6MTcxNA==,1714,Syncretic Polytheism in Curious Pastimes LARP,religious_group,2019,2022,Curious Pastimes LARP sites,,
RW50cnk6MjYzMg==,2632,Qur'anic Recitation - The Seven Qirāʾāt,religious_group,935,1430,al-Andalus and Baghdad,37.0,-4.0
RW50cnk6ODk2,896,Sannō Shintō,religious_group,800,1571,"Lake Biwa area, Kyōto and Mt Hiei",35.0,135.9
RW50cnk6MjQ4Mw==,2483,Malanda Ma Croix Koma,religious_group,1964,1971,Central Africa/Congo-Brazzaville/Region of Pool,-4.3,15.3
RW50cnk6MTM1Mg==,1352,Śākadvīpīya Brāhmaṇas,religious_group,2,21,North India (Rājasthān and Bihār),25.0,77.0
RW50cnk6MTQwNA==,1404,Religion in Nabataea,religious_group,-300,450,Kingdom of Nabataea,30.32,35.44
RW50cnk6ODU5,859,Valentinians,religious_group,135,400,Ancient Mediterranean,35.0,18.0
RW50cnk6OTAx,901,Mevlevi Sufi Order: The Disciples of Mawlana Rumi,religious_group,1200,1350,Mevlevi Sphere of Influence,37.87,32.49
RW50cnk6MTI2Nw==,1267,Pagans Under the Reign of Julian,religious_group,361,363,Roman Empire (Greatest Extent),41.9028,12.4964
RW50cnk6MTMyMg==,1322,Pagans under the Emperor Julian,religious_group,361,363,Roman Empire (Greatest Extent),41.9028,12.4964
RW50cnk6ODgy,882,Orphism,religious_group,-450,425,"Greece, Magna Graecia",39.0,22.0
RW50cnk6ODYy,862,Ilm-e-Khshnoom,religious_group,1907,2020,Parsis in India,23.0,72.6
RW50cnk6MTY3Nw==,1677,Royal Hittite Religion,religious_group,-1650,-1180,Central Anatolia,39.0,32.0
RW50cnk6OTU3,957,Spartan Religion,religious_group,-800,-300,Sparta and surrounding territory ('chora'),37.07,22.43
RW50cnk6MjI0NA==,2244,"Catholicism in the Latin Empire, Catholicism in the Eastern Roman Empire (Byzantium), the Latin Patriarchate of Constantinople",religious_group,1204,1261,Latin Empire,41.0082,28.9784
RW50cnk6MjczNg==,2736,Hillsong Church (Global),religious_group,1983,2026,Great Britain_Political Territory,54.0,-2.0
RW50cnk6OTUw,950,The Religious Society of Friends,religious_group,1652,2020,The Religious Society of Friends (Quakers),51.5074,-0.1278
RW50cnk6MTAxMA==,1010,Pythagoreanism,religious_group,-530,200,Southern Italy and Greece,39.0,16.0
RW50cnk6MjgzNQ==,2835,Soul Survivor Network,religious_group,1993,2023,Great Britain_Political Territory_DRH,54.0,-2.0
RW50cnk6MTE3Mg==,1172,Twofold Mystery (Chongxuan 重玄),religious_group,500,700,"Chang'an, Jiankang, and Sichuan",34.3,108.9
RW50cnk6OTI0,924,Muridiyya of Senegal,religious_group,1853,2022,"Senegal, West Africa",14.5,-14.5
RW50cnk6MTYyNg==,1626,The Cult of Maritime Hera,religious_group,-800,-400,"Sanctuaries and Cult Sites of ""Maritime Hera""",37.5,22.0
RW50cnk6Mjc3Mw==,2773,Krishna West,religious_group,2013,2026,Krishna West diaspora,,
RW50cnk6MjY3MA==,2670,Krishna West,religious_group,2013,2026,Krishna West,18.5204,73.8567
RW50cnk6NzI0,724,Aweikoma,religious_group,1909,1934,"Duque de Caxias Reservation, state of Santa Catarina, Brazil ca. 1932",-26.5,-51.0
RW50cnk6MjgxOA==,2818,UCM Teaching and Research Center,religious_group,2001,2026,Worldwide,,
RW50cnk6MTE5Ng==,1196,K’iche’ (Quiché),religious_group,1910,1940,Town of Chichicastenango,15.12,-91.11
RW50cnk6MjcyMA==,2720,The Redeemed Christian Church of God (RCCG),religious_group,1952,2026,"Lagos South-West, Nigeria",6.45,3.39
RW50cnk6OTAw,900,Pharisees,religious_group,-150,70,Roman Palestine,31.5,35.0
RW50cnk6ODQ2,846,Xuanzang's Yogācāra Tradition,religious_group,645,696,Major Yogācāra-driven monasteries during the early Tang period,34.0,108.0
RW50cnk6MTk5NA==,1994,Nigeria Fellowship of Evangelical Students (NIFES),religious_group,1968,2023,Nigeria,9.6,8.0
RW50cnk6MjAxMQ==,2011,Scripture Union Nigeria,religious_group,1885,2023,Nigeria,9.6,8.0
RW50cnk6MjAwMw==,2003,Nigerian Baptist Convention,religious_group,1914,2023,Nigeria,9.6,8.0
RW50cnk6OTAz,903,The Buddhist community on Mount Lu during early medieval China,religious_group,350,450,Mount Lu,29.57,115.98
RW50cnk6MjE5NA==,2194,The Redeemed Christian Church of God,religious_group,1952,2023,"Africa, Europe, North America, South America, Central America, Europe, Middle East, Asia, Australia, New Zealand",,
RW50cnk6MjM2Ng==,2366,Islam in Hausaland,religious_group,1500,2024,Hausaland,12.0,8.0
RW50cnk6MTg3Mg==,1872,"The Holy Apostles Community, Ayetoro",religious_group,1947,2023,"Ayetoro, Ilajeland, Ondo State, Southwest Nigeria",6.66,4.88
RW50cnk6MjI3MQ==,2271,The Gideons International in Ngeria,religious_group,1964,2024,"Africa, Europe, North America, South America, Central America, Europe, Middle East, Asia, Australia, New Zealand",,
RW50cnk6MTI1MQ==,1251,Tsonga,religious_group,1880,1910,"Tsonga lands, Ronga group ca. 1895",-25.0,33.0
RW50cnk6Njc0,674,Aymara,religious_group,1915,1940,"Chuchito, Peru",-15.9,-69.8
RW50cnk6MjczMA==,2730,Tzu Chi in Malaysia,religious_group,1992,2026,Malaysia,4.5694,102.2657
RW50cnk6MTMzNw==,1337,Tell Afis (Syria),religious_group,-1200,-600,Inner NW Syria,36.2,37.5
RW50cnk6MTM5OQ==,1399,Religion in the Mittani Empire,religious_group,-1550,-1350,Mittani Empire,36.5,40.0
RW50cnk6ODY2,866,Taigu School,religious_group,1762,1950,Shandong and Jiangnan,36.5,118.0
